nome;lat;lng;tipo
ASCENDANT COMERCIO DE VEICULOS LTDA;-236.140.832.481.942;-466.953.079.600.668;amarelo
FABERGE DISTRIBUIDORA DE VEICULOS E PECAS LTDA;-235.272.549.724.085;-462.024.992.889.055;amarelo
JAPAUTO COMERCIO DE MOTOCICLETAS LT;-235.132.374.810.298;-466.538.892.637.734;amarelo
TOMIYUSHITSUKIMOTOME;-235.293.406.164.065;-466.584.927.491.476;amarelo
UNITED AUTO NAGOYA COM DE VEICULOS;-235.711.919.678.843;-466.989.365.515.261;amarelo
DAITAN COMERCIO DE VEICULOS LTDA;-235.239.165.098.693;-466.835.590.947.776;amarelo
HIURI COMERCIO DE MOTOS E SERVICOS LTDA;-235.359.514.529.507;-467.094.061.061.007;amarelo
TMT - DISTRIBUIDORA DE VEICULOS LTD;-230.243.339.529.171;-455.852.703.445.143;amarelo
TANI MOTORS DISTRIBUIDORA DE VEICULOS LTDA;-232.133.667.680.293;-458.919.138.591.955;amarelo
UNITED AUTO NAGOYA COM. DE VEICULOS;-235.861.170.930.783;-466.796.538.042.476;amarelo
Vanner Equipamentos Ltda;-237.333.952.995.247;-467.015.053.330.787;amarelo
JAPAUTO COMERCIO DE MOTOCICLETAS LT;-235.138.698.895.068;-465.853.460.574.874;amarelo
SP JAPAN MOTORS DIST.DE VEICS.LTDA;-235.678.165.667.124;-466.124.983.889.042;amarelo
ASCENDANT COMERCIO DE VEICULOS LTDA;-236.702.729.611.691;-467.028.380.503.508;amarelo
HIURI COMERCIO MOTOS E SERV LTDA;-236.575.455.808.129;-467.640.378.484.249;amarelo
SANMELL MOTOS LTDA;-239.742.217.645.201;-464.680.300.135.851;amarelo
STR MOTOS LTDA;-236.216.858.466.634;-467.588.425.258.901;amarelo
HIURI COMERCIO DE MOTOS E SERVICOS;-236.833.607.991.827;-467.690.380.772.601;amarelo
M M UNIVERSO COM DE MOTOC E PECAS L;-235.646.792.276.465;-465.898.461.023.965;amarelo
SANMELL MOTOS LTDA;-239.517.782.620.755;-463.288.722.603.773;amarelo
SANMELL MOTOS LTDA;-239.517.809.158.747;-463.291.988.117.775;amarelo
